2026-07-02 14:58:50 | INFO     | camera | Confidence threshold -> 0.15
2026-07-02 14:58:50 | INFO     | camera | Confidence threshold -> 0.20
2026-07-02 14:58:50 | INFO     | camera | Confidence threshold -> 0.25
2026-07-02 14:58:50 | INFO     | camera | Confidence threshold -> 0.30
2026-07-02 14:58:51 | INFO     | camera | Confidence threshold -> 0.35
2026-07-02 14:58:51 | INFO     | camera | Confidence threshold -> 0.40
2026-07-02 14:58:53 | INFO     | camera | Confidence threshold -> 0.45
2026-07-02 14:59:01 | INFO     | camera | Saved snapshot to D:\final year project\inmoov_tool_detector\reports\snapshots\frame_1782984541.jpg
2026-07-02 14:59:07 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 14:59:07 | INFO     | camera | Camera released. Session ended.
2026-07-02 15:19:49 | INFO     | camera | Loading model runs\detect\tool_detector\weights\best.pt on device: GPU 0 - NVIDIA GeForce GTX 1650 Ti (4.0 GB)
2026-07-02 15:19:49 | INFO     | camera | Model loaded. Classes: ['drill', 'hammer', 'pliers', 'screwdriver', 'wrench']
2026-07-02 15:19:51 | INFO     | camera | Camera 0 opened successfully. Confidence threshold = 0.5
2026-07-02 15:19:51 | INFO     | camera | Press 'q' to quit, '+'/'-' to adjust confidence, 's' to save a snapshot.
2026-07-02 15:23:05 | WARNING  | camera | Interrupted by user (Ctrl+C). Shutting down.
2026-07-02 15:23:06 | INFO     | camera | Camera released. Session ended.
